"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Antigua and Barbuda","ATG","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.08","0.07","0.06","0.06","0.05","0.05","0.04","0.04","0.04","0.04","0.03","0.03","0.03","0.04","0.04","0.04","0.04","0.04","0.04","0.05","0.05","0.05","0.05","0.05","0.04","0.04","0.04","0.04","0.04","0.03","",
"Austria","AUT","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","0.01","0.01","0.02","0.03","0.05","0.08","0.11","0.14","0.16","0.17","0.16","0.15","0.13","0.11","0.11","0.1","0.09","0.1","0.09","0.08","0.08","0.08","0.07","0.07","0.07","0.07","0.06","0.06","0.06","",
"Burundi","BDI","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.05","4.59","3.97","3.46","2.95","2.54","2.21","1.91","1.72","1.51","1.33","1.17","1.09","0.96","0.88","0.79","0.75","0.69","0.62","0.57","0.5","0.45","0.41","0.37","0.34","0.29","0.25","0.22","0.19","0.17","",
"Belgium","BEL","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.39","0.58","0.8","1","1.15","1.23","1.24","1.18","1.11","1.04","0.97","0.92","0.85","0.8","0.76","0.72","0.69","0.64","0.61","0.57","0.53","0.51","0.48","0.47","0.43","0.39","0.36","0.34","0.33","0.31","",
"Burkina Faso","BFA","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.64","2.4","2.19","1.86","1.69","1.47","1.3","1.21","1.11","1","0.92","0.84","0.76","0.7","0.65","0.59","0.54","0.48","0.45","0.39","0.35","0.33","0.28","0.26","0.22","0.19","0.17","0.15","0.15","0.14","",
"Bangladesh","BGD","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.02","0.02","0.02","0.02","0.02","0.03","0.03","0.03","0.03","0.03","0.03","0.04","0.04","0.04","0.04","0.04","",
"Bahrain","BHR","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.02","0.02","0.03","0.04","0.06","0.07","0.09","0.12","0.14","0.15","0.16","0.17","0.18","0.2","0.21","0.23","0.23","0.24","0.24","0.23","0.22","0.21","0.2","",
"Belize","BLZ","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","0.31","0.34","0.36","0.37","0.38","0.39","0.38","0.33","0.26","0.22","0.17","0.15","0.13","0.12","0.12","0.12","0.12","0.12","0.12","0.11","0.11","0.11","0.11","0.1","0.1","0.09","0.09","0.09","0.08","",
"Brazil","BRA","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.24","0.25","0.27","0.27","0.28","0.28","0.29","0.3","0.3","0.3","0.29","0.29","0.28","0.26","0.24","0.25","0.21","0.22","0.22","0.22","0.21","0.22","0.22","0.24","0.24","0.25","0.23","0.23","0.23","0.23","",
"Barbados","BRB","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.17","1.04","0.93","0.84","0.78","0.73","0.7","0.68","0.66","0.63","0.61","0.58","0.55","0.52","0.49","0.45","0.42","0.39","0.35","0.32","0.3","0.28","0.26","0.24","0.23","0.22","0.2","0.2","0.19","0.18","",
"Brunei Darussalam","BRN","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.16","16.1","19.87","23.16","25.47","26.43","25.79","24.26","22.26","19.93","17.87","16.05","14.66","13.39","12.41","11.16","10.35","9.83","9.41","8.87","8.54","8.29","7.34","6.74","6.53","6.27","5.83","5.33","5.08","4.78","",
"Central African Republic","CAF","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.85","6.89","6.61","6.15","5.89","5.57","5.17","4.99","4.5","4.17","3.88","3.62","3.41","3.26","3.09","2.86","2.73","2.57","2.38","2.24","2.16","2.03","1.91","1.84","1.68","1.5","1.35","1.29","1.2","1.1","",
"Canada","CAN","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.15","0.14","0.12","0.11","0.1","0.09","0.08","0.08","0.07","0.07","0.07","0.06","0.06","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.06","0.06","0.05","0.05","0.04","0.03","0.03","",
"Channel Islands","CHI","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.07","0.09","0.1","0.11","0.13","0.14","0.14","0.15","0.15","0.15","0.15","0.14","0.14","0.13","0.13","0.13","0.13","0.14","0.15","0.17","0.19","0.21","0.23","0.25","0.26","0.27","0.27","0.28","0.27","0.27","",
"China","CHN","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.68","6.13","6.48","6.44","6.15","5.69","5.27","4.85","4.45","4.07","3.7","3.3","3","2.79","2.51","2.26","2.08","1.89","1.73","1.53","1.41","1.31","1.16","1.04","0.94","0.86","0.79","0.69","0.61","0.51","",
"Cameroon","CMR","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.15","1.54","1.99","2.51","3.02","3.56","3.93","4.19","4.28","4.21","3.95","3.65","3.3","2.98","2.71","2.5","2.32","2.2","2.06","1.93","1.73","1.61","1.45","1.28","1.18","1.04","0.96","0.84","0.74","0.69","",
"Congo, Dem. Rep.","COD","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.49","1.49","1.48","1.41","1.34","1.26","1.22","1.1","1.04","0.97","0.91","0.86","0.8","0.76","0.71","0.68","0.64","0.6","0.56","0.53","0.49","0.45","0.42","0.38","0.35","0.32","0.3","0.28","0.25","0.22","",
"Congo, Rep.","COG","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.57","4.31","3.6","3.12","3","2.66","2.54","2.38","2.36","2.2","2.2","2.03","2.04","1.82","1.76","1.71","1.69","1.64","1.68","1.65","1.57","1.52","1.53","1.54","1.55","1.56","1.56","1.56","1.55","1.55","",
"Colombia","COL","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.25","0.29","0.32","0.35","0.35","0.35","0.34","0.33","0.31","0.29","0.28","0.28","0.26","0.22","0.22","0.22","0.23","0.22","0.21","0.23","0.26","0.26","0.26","0.26","0.26","0.26","0.25","0.25","0.25","0.25","",
"Comoros","COM","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","",
"Cabo Verde","CPV","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.52","0.56","0.56","0.46","0.44","0.42","0.42","0.43","0.42","0.42","0.42","0.43","0.41","0.41","0.39","0.35","0.32","0.29","0.28","0.27","0.26","0.25","0.24","0.23","0.22","0.21","0.2","0.2","0.19","0.19","",
"Costa Rica","CRI","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.08","0.08","0.09","0.09","0.09","0.1","0.1","0.11","0.11","0.12","0.12","0.12","0.13","0.13","0.14","0.14","0.15","0.15","0.16","0.16","0.16","0.17","0.17","0.18","0.18","0.18","0.19","0.19","0.19","0.19","",
"Caribbean small states","CSS","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.938121125108302","0.928363788336304","0.802987286182109","0.809471857811998","0.790195075708159","0.748979499696848","0.684156525377922","0.658328539567875","0.607871028482767","0.608144377274085","0.569799384069422","0.543571308040997","0.519272033897153","0.498686699690769","0.474884806609971","0.459372678832615","0.445646266775813","0.436272296194407","0.423128168023118","0.403436861760976","",
"Cuba","CUB","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.02","0.02","0.02","0.02","0.03","0.03","0.04","0.05","0.05","0.06","0.07","0.08","0.09","0.11","0.12","0.13","0.15","0.16","0.18","0.19","0.2","0.21","0.21","0.21","0.2","0.2","0.18","0.17","0.16","0.14","",
"Curacao","CUW","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Czech Republic","CZE","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.31","0.55","0.98","1.5","2.3","3.16","3.68","3.86","3.48","2.92","2.49","1.78","1.38","1.03","0.9","0.76","0.68","0.65","0.54","0.49","0.44","0.39","0.35","0.31","0.26","0.22","0.19","0.17","0.15","0.14","",
"Dominica","DMA","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.32","1.33","1.49","1.59","1.62","1.6","1.51","1.43","1.29","1.14","1.03","0.9","0.8","0.71","0.63","0.57","0.49","0.42","0.39","0.37","0.34","0.32","0.31","0.3","0.29","0.29","0.28","0.28","0.27","0.27","",
"Algeria","DZA","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.02","0.02","0.02","0.02","0.02","0.03","0.03","0.03","0.04","0.04","0.04","0.04","0.05","0.05","0.05","0.05","0.05","",
"East Asia & Pacific (excluding high income)","EAP","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia","ECS","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.22","0.22","0.22","0.22","0.22","0.22","0.22","0.22","0.22","0.23","0.23","0.23","0.21","0.19","0.2","0.2","0.19","0.19","0.19","0.18","0.18","0.18","0.17","0.17","0.17","0.17","0.16","0.16","0.15","0.14","",
"Egypt, Arab Rep.","EGY","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.02","0.02","0.02","0.03","0.03","0.04","0.04","0.05","",
"Euro area","EMU","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.12","1.3","1.4","1.42","1.4","1.29","1.15","1.01","0.88","0.7","0.63","0.59","0.55","0.51","0.47","0.43","0.39","0.35","0.31","0.28","0.26","0.23","0.2","0.17","0.15","0.14","0.13","0.12","0.11","0.11","",
"Spain","ESP","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","0.17","0.16","0.15","0.14","0.14","0.13","0.13","0.12","0.12","0.12","0.12","0.12","0.11","0.11","0.11","0.11","0.11","0.1","0.1","0.1","0.09","0.09","0.08","0.08","0.08","0.07","0.07","0.06","0.06","",
"Estonia","EST","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ethiopia","ETH","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.06","3.21","3.16","2.88","2.48","2.1","1.79","1.57","1.38","1.2","1.07","0.93","0.84","0.74","0.67","0.59","0.55","0.5","0.44","0.41","0.37","0.33","0.29","0.25","0.23","0.21","0.2","0.18","0.16","0.16","",
"European Union","EUU","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.36163359966438","1.30211044671928","1.23575566947461","1.17293433663696","1.11622713345191","1.06480158373549","1.01658015495796","0.970669473857809","0.939954367364938","0.902681099097585","0.872534267476437","0.824886814200229","0.774341106660594","0.733831752467418","0.690697868583258","0.65506479501899","0.625718828081576","0.590431395250729","0.562089971318016","0.540338771510985","",
"Finland","FIN","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fiji","FJI","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","0.01","0.01","0.01","0.01","0.02","0.02","0.02","0.02","0.02","0.03","0.03","0.03","0.04","0.04","0.05","0.05","0.06","0.07","0.07","0.08","0.08","0.09","0.1","0.1","0.11","0.12","0.13","0.14","0.14","",
"France","FRA","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.1","0.11","0.11","0.12","0.12","0.1","0.11","0.1","0.1","0.11","0.11","0.11","0.13","0.12","0.12","0.1","0.1","0.1","0.09","0.08","0.09","0.09","0.09","0.1","0.1","0.1","","","","",
"Faroe Islands","FRO","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.55","1.95","2.47","2.87","3.37","3.65","3.91","3.94","3.78","3.48","3.14","3.01","2.76","2.57","2.42","2.23","2.1","1.99","1.87","1.84","1.72","1.63","1.51","1.37","1.26","1.15","0.99","0.9","0.81","0.74","",
"United Kingdom","GBR","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Georgia","GEO","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ghana","GHA","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.66","2.02","1.92","1.94","2.03","1.89","1.72","1.77","1.62","1.57","1.47","1.42","1.34","1.24","1.12","1.13","1.08","1.03","1.02","0.95","0.99","0.95","0.9","0.88","0.84","0.8","0.76","0.74","0.73","0.7","",
